caller_id,callee_id,call_start,call_duration,call_type,cell_id,location,imei,is_fraud
6243921702,3832908946,2025-03-29 09:50:32.479106,211,sms_in,VS6XB,"40.139848182886766,115.55118877539746",8Z9CI2NO4XS88MW,False
6988376713,0174242027,2025-03-27 09:50:32.479157,381,sms_out,U69FS,"22.865490413111573,-75.46377612072585",D8FG28YIT3ZWKVY,True
8529561380,1600485104,2025-04-10 09:50:32.479198,625,sms_in,AB0Y7,"73.01513931854203,-100.12568471007211",97SABTT27AML206,False
5599106685,4132252793,2025-04-16 09:50:32.479238,49,voice_out,MD9AK,"-33.29278249749262,33.3871495091924",XWOT9PLY6TTDGZD,True
2523578897,8125765093,2025-04-08 09:50:32.479276,999,voice_in,BMKQB,"41.73608294878966,10.240123797651137",4WRSSKVKXS2PT93,False
0997116926,0732869966,2025-04-14 09:50:32.479307,1002,voice_in,M2A7V,"7.436757990742805,-26.810760616925194",H0TBHHFFWBAO5OM,False
8256858238,6693243443,2025-04-16 09:50:32.479326,1057,sms_out,SKS61,"31.82063727971358,-55.741512261038764",53H2Q9GCXA8L3CT,True
5209859309,0830271157,2025-04-03 09:50:32.479347,1105,sms_in,5ZCC9,"-15.995763604682821,167.5029893419955",9LOZJ9TQU9Z100O,True
4760845920,7673634366,2025-03-27 09:50:32.479368,1016,sms_out,XXKRL,"-21.77694902346876,-148.23774381267594",VSL4JEW961V26XM,False
3737071069,2221724979,2025-04-14 09:50:32.479386,675,sms_in,77DL8,"-48.55502738632656,-163.03277335939012",0C57T423RM46YQ1,True
0674762235,4124489899,2025-03-28 09:50:32.479404,277,sms_out,840PF,"65.77443286730534,-38.36404576444045",I0CXBQ4J9FVC9MM,False
9901996700,8821930449,2025-04-15 09:50:32.479420,128,voice_in,98S4J,"72.24176123551354,-13.28792522101395",QZY505NX83T94TT,True
2327065734,1135265701,2025-03-29 09:50:32.479437,306,voice_out,Y675H,"10.50902583259932,-21.820100712637895",JWE3DHEB91YU51N,False
8758746184,3332277274,2025-04-05 09:50:32.479454,950,sms_out,FOQF3,"-38.25802310518742,-162.21389043592433",DT47TUQUV95KE36,False
2111343932,7250935873,2025-03-28 09:50:32.479472,978,sms_in,X057C,"-25.001361269163127,28.32879304217846",91X2MX0WJHZKR08,False
0777456324,2389712938,2025-04-15 09:50:32.479490,293,voice_in,SX94A,"89.52786069568512,-178.19384873873486",L2LETC1XZJFELP3,False
4162406125,1866342466,2025-04-20 09:50:32.479507,444,voice_in,PBR0F,"28.233202961081474,162.57209651707427",PWVW4G8GQ4PRRCS,False
7217383021,1475820658,2025-03-26 09:50:32.479525,584,sms_out,3I5QC,"-52.28209763538714,102.98792962132484",GP5FHSHWJFUEVX9,True
5690257252,6083122406,2025-03-30 09:50:32.479542,242,sms_out,2MQVQ,"-79.77507583080333,-45.87987991760329",XI79REDNVMZTKQT,False
3590843390,0859280040,2025-04-06 09:50:32.479559,67,voice_in,HSUIO,"4.570291570807939,169.80126793075112",QZZLHN0VONK3OMY,False
4885535102,5200243896,2025-04-04 09:50:32.479576,924,voice_in,SFJ77,"18.546008702989667,-175.23653606478217",MCO6V3K5R6AVLGK,False
3196443723,4406171430,2025-03-29 09:50:32.479593,1088,voice_in,W59QH,"-78.22959513777721,-0.1884311359985702",6J7HPFP9FVU80SZ,True
1389260786,4899427070,2025-04-21 09:50:32.479610,1000,sms_out,QT8SE,"16.117609965408647,28.63963272636036",T7VO65F4LTUMBEJ,False
4536443390,1504089811,2025-04-20 09:50:32.479628,872,voice_out,IUHP0,"-3.009174695862825,-58.29168013887221",I4A2YC2V93XRLEX,True
4134532288,7000273515,2025-04-18 09:50:32.479645,823,sms_in,YUVGN,"89.90615391847422,128.33655460870148",3ZLLVQKNGYOLM17,False
7019840843,9177453820,2025-04-21 09:50:32.479662,31,voice_out,FAMEX,"2.125560064322869,8.318916423098017",RQAPVYMHN0I1ROA,False
5916802658,2581994107,2025-04-07 09:50:32.479678,795,voice_in,WTRSZ,"-40.823552660446424,124.35226287445602",XO0HWQ2XNJZI2J2,True
9145812263,0024136693,2025-04-07 09:50:32.479696,317,voice_out,D7TFE,"-54.90029599008419,-52.813679249358785",H5QA274KF4JJ6I7,True
7533993818,8250468517,2025-04-11 09:50:32.479713,825,sms_in,3K6IB,"24.764303501268614,146.77981303327726",AK3R3LEYGJPFXD0,False
6934280054,3029846815,2025-03-28 09:50:32.479730,780,sms_out,LWV19,"-74.86914568264953,9.955579402577854",BP5T2BA8JICVZ62,False
9425173095,6207674806,2025-03-27 09:50:32.479747,723,sms_in,0ESUQ,"-49.94657632863496,116.68515376152516",SS0OYTABZRQK5AB,True
1568518972,1197770012,2025-04-12 09:50:32.479764,611,sms_in,4BXYD,"-88.42015987503684,-109.95202747140476",EB1USYSUVRP5Z4P,True
8581356248,0112154511,2025-04-05 09:50:32.479781,163,voice_in,BU29D,"86.63157704814199,90.8055521986301",TCX1HS1J4RNWS98,False
6893547863,8094432151,2025-04-22 09:50:32.479808,809,sms_out,6QQE7,"20.738637966108243,-157.86259150723433",E9F23ITF7LHCB0X,False
8369460081,3248041501,2025-04-11 09:50:32.479827,505,voice_out,X2RME,"36.11981687281221,-27.35039362187993",9JPWS1I3GRF5N8O,False
9459803730,4149981072,2025-04-22 09:50:32.479845,230,sms_in,DPA9D,"-40.935895906842504,161.1668015552396",ODG5LTF8EU29W5E,False
0840745012,7718441503,2025-04-13 09:50:32.479862,1053,voice_in,0BD4J,"14.936957023779598,40.66638822540605",TV97NPSV8DQ1F9N,True
3952373969,7781777902,2025-04-22 09:50:32.479878,252,sms_out,IQXFY,"-23.892540248003442,-72.35032281987547",MZSF44GP9KGKACR,False
4684556377,7301472378,2025-04-23 09:50:32.479895,703,voice_in,LTMGI,"-14.223000836551222,-128.1318198438661",GBGIYZHH28Q6N84,False
0327694722,6167135524,2025-03-29 09:50:32.479912,586,sms_out,YVA02,"-67.8516193809713,43.93550811738339",M2XZKIY8BEEP4MV,True
3698268632,6611973124,2025-04-01 09:50:32.479928,1085,sms_in,K55C6,"-3.0781258792487023,159.67718659039957",9C8GE9E3HY0FGTS,False
